Community,SASAPRegions,NAMELSAD,region,Reg_corp,County,LAT,LONG,Urban
Hobart Bay,Southeast,Hobart Bay CDP,Southeast,Sealaska,Petersburg,57.4177587,-133.3065713,0
Holikachuk,Yukon,,,,,,,0
Hollis,Southeast,Hollis CDP,Southeast,Sealaska,Prince of Wales-Hyder,55.5154743,-132.7019221,0
Holy Cross,Yukon,Holy Cross city,Yukon,Doyon,Yukon-Koyukuk,62.1870739,-159.8519714,0
Homer,Cook Inlet,Homer city,Cook Inlet,Cook Inlet,Kenai Peninsula,59.6474446,-151.5131193,0
Hoonah,Southeast,Hoonah city,Southeast,Sealaska,Hoonah-Angoon,58.1222368,-135.4318869,0
Hooper Bay,Yukon,Hooper Bay city,Yukon,Calista,Kusilvak,61.5091624,-166.1113482,0
Hope,Cook Inlet,Hope CDP,Cook Inlet,Cook Inlet,Kenai Peninsula,60.8861245,-149.6329912,0
Houston,Cook Inlet,Houston city,Cook Inlet,Cook Inlet,Matanuska-Susitna,61.6153018,-149.8002477,0
Hughes,Yukon,Hughes city,Yukon,Doyon,Yukon-Koyukuk,66.0452165,-154.2376273,0
Huslia,Yukon,Huslia city,Yukon,Doyon,Yukon-Koyukuk,65.7056802,-156.3063387,0
Hydaburg,Southeast,Hydaburg city,Southeast,Sealaska,Prince of Wales-Hyder,55.2058418,-132.8204379,0
Hyder,Southeast,Hyder CDP,Southeast,Sealaska,Prince of Wales-Hyder,55.9815417,-130.0382879,0
Icy Bay,Southeast,,,,,,,0
Idaho Inlet,Southeast,,,,,,,0
Igiugig,Bristol Bay,Igiugig CDP,Bristol Bay,Bristol Bay,Lake and Peninsula,59.3012536,-155.86095,0
Iliamna,Bristol Bay,Iliamna CDP,Bristol Bay,Bristol Bay,Lake and Peninsula,59.8128056,-154.8422622,0
Indian,Cook Inlet,,,,,,,1
Indian Mountain,Yukon,,,,,,,0
Ivanof Bay,Chignik,Ivanof Bay CDP,Chignik,Bristol Bay,Lake and Peninsula,55.9181993,-159.4932984,0
Jakolof Bay,Cook Inlet,,,,,,,0
Juneau,Southeast,Juneau city and borough,Southeast,Sealaska,Juneau,58.6435233,-134.2811673,1
Kachemak,Cook Inlet,Kachemak city,Cook Inlet,Cook Inlet,Kenai Peninsula,59.674439,-151.4364706,0
Kaguyak,Kodiak,,,,,,,0
Kake,Southeast,Kake city,Southeast,Sealaska,Prince of Wales-Hyder,56.9753204,-133.9036632,0
Kakhonak,Bristol Bay,,,,,,,0
Kaktovik,Arctic,Kaktovik city,Arctic,Arctic Slope,North Slope,70.1214522,-143.629435,0
Kalifonsky,Cook Inlet,Kalifornsky CDP,Cook Inlet,Cook Inlet,Kenai Peninsula,60.4533983,-151.2203038,0
Kalifornsky,Cook Inlet,,,,,60.4533983,-151.2203038,0
Kalskag,Kuskokwim,,,,,64.3138233,-158.7797265,0
Kaltag,Yukon,Kaltag city,Yukon,Doyon,Yukon-Koyukuk,,,0
Karluk,Kodiak,Karluk CDP,Kodiak,Koniag,Kodiak Island,57.5908739,-154.3639103,0
Kasaan,Southeast,Kasaan city,Southeast,Sealaska,Prince of Wales-Hyder,55.5611447,-132.4068335,0
Kasiglook,Kuskokwim,Kasigluk CDP,Kuskokwim,Calista,Bethel,60.8640947,-162.5385788,0
Kasigluk,Kuskokwim,Kasigluk CDP,Kuskokwim,Calista,Bethel,60.8640947,-162.5385788,0
Kasilof,Cook Inlet,Kasilof CDP,Cook Inlet,Cook Inlet,Kenai Peninsula,60.3193358,-151.2328747,0
Kasitsna Bay,Cook Inlet,,,,,,,0
Katlian,Southeast,,,,,,,1
Kenai,Cook Inlet,Kenai city,Cook Inlet,Cook Inlet,Kenai Peninsula,60.5622743,-151.2079714,1
Kenny Lake,Copper River,Kenny Lake CDP,Copper River,Ahtna,Valdez-Cordova,61.6271712,-144.8629762,0
Kern,Cook Inlet,,,,,,,1
Ketchikan,Southeast,Ketchikan city,Southeast,Sealaska,Ketchikan Gateway,55.3571361,-131.6745638,1
Ketchikan East,Southeast,,,,,,,1
Kiana,Kotzebue,Kiana city,Kotzebue,NANA,Northwest Arctic,66.9725983,-160.4343271,0
King Cove,Alaska Peninsula and Aleutian Islands,King Cove city,Aleutian Islands,Aleut,Aleutians East,55.0774004,-162.3204026,0
King Island,Norton Sound,,,,,,,0
King Salmon,Bristol Bay,King Salmon CDP,Bristol Bay,Bristol Bay,Bristol Bay,58.7352301,-156.5285319,0
Kipnuk,Kuskokwim,Kipnuk CDP,Kuskokwim,Calista,Bethel,59.9364517,-164.0617513,0
Kivalina,Kotzebue,Kivalina city,Kotzebue,NANA,Northwest Arctic,67.7270541,-164.5355907,0
Klawock,Southeast,Klawock city,Southeast,Sealaska,Prince of Wales-Hyder,55.5564133,-133.0862916,0
Klukwan,Southeast,Klukwan CDP,Southeast,Sealaska,Hoonah-Angoon,59.3997662,-135.8868771,0
Knight Island,Prince William Sound,,,,,,,0
Knik,Cook Inlet,,,,,,,0
Knik River,Cook Inlet,Knik River CDP,Cook Inlet,Cook Inlet,Matanuska-Susitna,61.461826,-149.0075317,0
Knik-Fairview,Cook Inlet,Knik-Fairview CDP,Cook Inlet,Cook Inlet,Matanuska-Susitna,61.4971601,-149.6545047,0
Kobuk,Kotzebue,Kobuk city,Kotzebue,NANA,Northwest Arctic,66.9234177,-156.9040756,0
Kodiak,Kodiak,Kodiak city,Kodiak,Koniag,Kodiak Island,57.7911891,-152.4200872,1
Kodiak Station,Kodiak,Kodiak Station CDP,Kodiak,Koniag,Kodiak Island,57.7679505,-152.5959068,1
Kokhanok,Bristol Bay,Kokhanok CDP,Bristol Bay,Bristol Bay,Lake and Peninsula,59.4128736,-154.7466612,0
Koliganek,Bristol Bay,Koliganek CDP,Bristol Bay,Bristol Bay,Dillingham,59.6966837,-157.2248242,0
Kongiganak,Kuskokwim,Kongiganak CDP,Kuskokwim,Calista,Bethel,59.9644575,-162.8831033,0
Kotlik,Yukon,Kotlik city,Yukon,Calista,Kusilvak,63.029205,-163.5362588,0
Kotzebue,Kotzebue,Kotzebue city,Kotzebue,NANA,Northwest Arctic,66.8764343,-162.5115904,1
Koyuk,Norton Sound,Koyuk city,Norton Sound,Bering Straits,Nome,64.9410837,-161.1454584,0
Koyukuk,Yukon,Koyukuk city,Yukon,Doyon,Yukon-Koyukuk,64.9012535,-157.6940928,0
Kupreanof,Southeast,Kupreanof city,Southeast,Sealaska,Petersburg,56.8212946,-132.9721517,0
Kwethluk,Kuskokwim,Kwethluk city,Kuskokwim,Calista,Bethel,60.7934573,-161.4311239,0
Kwigillingok,Kuskokwim,Kwigillingok CDP,Kuskokwim,Calista,Bethel,59.8742339,-163.2055411,0
Kwiguk,Yukon,,,,,,,0
Kwinhagak,Kuskokwim,,,,,,,0
Labouchere Bay,Southeast,,,,,,,0
Lake Louise,Cook Inlet,Lake Louise CDP,Cook Inlet,Ahtna,Matanuska-Susitna,62.2969452,-146.5318448,0
Lake Minchumina,Yukon,Lake Minchumina CDP,Yukon,Doyon,Yukon-Koyukuk,63.7901432,-152.4621279,0
Lakes,Cook Inlet,Lakes CDP,Cook Inlet,Cook Inlet,Matanuska-Susitna,61.6052185,-149.3114683,1
Larsen Bay,Kodiak,Larsen Bay city,Kodiak,Koniag,Kodiak Island,57.5508943,-154.0052774,0
Lazy Mountain,Cook Inlet,Lazy Mountain CDP,Cook Inlet,Cook Inlet,Matanuska-Susitna,61.6575359,-148.9285017,0
Lemeta-Johnston,Yukon,,,,,,,0
Levelock,Bristol Bay,Levelock CDP,Bristol Bay,Bristol Bay,Lake and Peninsula,59.0682459,-156.9010206,0
Lignite,Yukon,,,,,,,0
Lime Village,Kuskokwim,Lime Village CDP,Kuskokwim,Calista,Bethel,61.3304812,-155.238328,0
Little Port Walter,Southeast,,,,,,,0
Livengood,Yukon,Livengood CDP,Yukon,Doyon,Yukon-Koyukuk,65.4765064,-148.4227842,0
Long Island,Southeast,,,,,,,0
Long Lake,Copper River,,,,,,,0
Loring,Southeast,Loring CDP,Southeast,Sealaska,Ketchikan Gateway,55.6066758,-131.6399759,0
Lowell Point,Cook Inlet,Lowell Point CDP,Cook Inlet,Chugach,Kenai Peninsula,60.0760625,-149.493807,0
Lower Kalskag,Kuskokwim,Lower Kalskag city,Kuskokwim,Calista,Bethel,61.5162855,-160.3555982,0
Lower Tonsina,Copper River,,,,,,,0
Lutak,Southeast,Lutak CDP,Southeast,Sealaska,Haines,59.4122121,-135.5890458,0
Manley Hot Springs,Yukon,Manley Hot Springs CDP,Yukon,Doyon,Yukon-Koyukuk,65.0187573,-150.6452806,0
Manokotak,Bristol Bay,Manokotak city,Bristol Bay,Bristol Bay,Dillingham,59.0050345,-159.0000909,0
Marshall,Yukon,Marshall city,Yukon,Calista,Kusilvak,61.8792557,-162.0612638,0
